student_id,weekly_self_study_hours,attendance_percentage,class_participation,total_score,grade,performance_category
2321,18.1,76.7,3.7,100,A,Excellent
4160,15.6,81.7,4.9,89.6,A,Good
8290,1.7,71.4,9.2,58.3,C,Poor
2371,13.9,100,8.1,91.2,A,Excellent
1892,15,80.8,4.2,100,A,Excellent
4066,10.6,71.2,2.8,63.7,C,Average
5324,16.5,84.6,5.9,80.4,B,Good
7172,13.3,73,2.1,78,B,Good
8213,9.5,95,7.7,62.2,C,Average
3878,16.7,91.7,4.6,86.9,A,Good
2251,14.1,93.7,6.6,68.8,C,Average
4535,20.2,72.5,3.8,96.2,A,Excellent
2212,19.2,77.1,5.3,100,A,Excellent
8665,12.7,71.6,10,69.2,C,Average
2330,20.9,75,4.8,100,A,Excellent
947,4.3,97,9.2,64.4,C,Average
8073,10.7,88.1,3.2,75,B,Good
5207,23.1,86.7,4.6,100,A,Excellent
8992,21.2,100,5.2,100,A,Excellent
5337,11.4,76.6,6.4,70.6,B,Average
1215,12.9,88.2,6.6,73.7,B,Average
5514,16.8,76.8,10,97.2,A,Excellent
3659,16.1,79.4,7.6,89.2,A,Good
8212,19.5,63,3.7,94.1,A,Excellent
115,6.17,73.32,7.02,68.85,C,Average
4177,14.9,61.8,5.8,81.4,B,Good
2780,18.4,96.3,4,99.2,A,Excellent
5543,23.6,69.8,3.8,100,A,Excellent
512,14.6,91.1,8.7,91.1,A,Excellent
8356,21.7,100,6.8,100,A,Excellent
4424,21.6,68.6,9.2,99.6,A,Excellent
1073,15.5,86.2,5.2,85.1,A,Good
1806,3.9,86.4,10,57.8,C,Poor
930,14.5,85.7,6.5,85.1,A,Good
5907,13.8,100,5.9,80.5,B,Good
7349,8.7,93.3,5.5,72.4,B,Average
843,7.1,75,4.8,64.4,C,Average
3781,13.9,79.6,7.5,91.4,A,Excellent
1437,13.3,83.3,7.7,100,A,Excellent
7232,26.8,89.2,5,100,A,Excellent
7506,0,100,9.2,53.3,D,Poor
286,1.3,82.9,5.5,54.5,D,Poor
5153,18.6,97.3,5.6,95.2,A,Excellent
8565,0,99.8,5.9,56.8,C,Poor
3005,18.9,99.4,7.4,91.6,A,Excellent
8222,21.8,96.8,7.1,100,A,Excellent
6212,15.9,88.9,6.6,82,B,Good
7257,14.4,97.2,6.6,94.8,A,Excellent
7046,11.1,87.4,3.5,63,C,Average
6659,14.2,83.1,7.4,100,A,Excellent
8223,18.8,84.7,5.4,98.7,A,Excellent
9144,12.3,98.8,4.8,75.5,B,Good
1944,12.6,77,5.3,67.5,C,Average
1958,37,86.8,7.5,100,A,Excellent
7272,16.7,79.5,4.8,73.4,B,Average
1576,14.8,74.3,5.7,95.4,A,Excellent
3814,15.7,99.4,7.3,77.6,B,Good
5645,20.3,100,10,93.2,A,Excellent
5756,7.7,77.4,5.9,55.6,C,Poor
2395,14.4,81.7,1.8,86.6,A,Good
361,18.6,100,4.6,83.7,B,Good
380,9.3,81.7,3.8,60.4,C,Average
7410,23.3,90.2,6.7,100,A,Excellent
1276,16,94.6,6.6,98.5,A,Excellent
3217,3.4,99.3,8.1,48.1,D,Poor
8477,16.1,90.5,9.5,100,A,Excellent
2438,20.8,86.9,2.8,100,A,Excellent
4669,9,87.1,9.8,81.1,B,Good
2770,13.6,74.7,5.5,98.2,A,Excellent
5078,22.3,93,5.2,100,A,Excellent
8491,23.9,84,3.4,100,A,Excellent
678,27.3,88.2,6.6,100,A,Excellent
4584,20.5,75.2,7.2,97,A,Excellent
526,2.4,77.1,6.6,79.1,B,Good
7499,0,97.2,5.5,37.4,F,Poor
4112,9.6,75.8,6.7,100,A,Excellent
5496,6.1,87.9,5.8,45.7,D,Poor
8317,13.7,90.8,4.4,91.6,A,Excellent
2756,11.8,74.1,5.5,69.8,C,Average
3492,13.5,77.1,4.1,71.1,B,Average
5967,21,79.1,9.8,83.5,B,Good
6436,12.7,94.4,6.9,92.7,A,Excellent
2245,26.3,95.9,3.9,100,A,Excellent
7286,7.6,82.6,6,59,C,Poor
1864,2.8,100,6.2,71.7,B,Average
1482,12.4,91.1,9.1,92.6,A,Excellent
4851,0,83.4,8.7,49.9,D,Poor
1787,12.8,79.9,6,82.9,B,Good
1653,16.4,86.6,4.3,85.8,A,Good
8364,11.9,75.7,4.4,94.5,A,Excellent
4244,19.9,80.5,6.3,100,A,Excellent
8610,9.6,93.1,7.6,63.6,C,Average
7247,14.2,68.1,6.3,86.1,A,Good
8160,9.7,76.4,7.6,71.7,B,Average
1494,16.3,86,4.3,75.6,B,Good
3515,18,68.7,9.2,96.8,A,Excellent
3134,25.5,83.7,5.9,100,A,Excellent
1788,9.7,72.4,7.9,76.4,B,Good
4559,11.2,100,10,70,C,Average
5712,7.7,91.4,7.1,69.8,C,Average
3430,22.7,89.5,5.2,100,A,Excellent
5355,11.2,84.8,7.4,46.8,D,Poor
8283,20.6,72.1,7.2,95.5,A,Excellent
2075,10.7,92.4,3.9,75.7,B,Good
3387,9.3,72.8,9.2,66.5,C,Average
6136,7,80.6,9.1,83.9,B,Good
3521,18.5,87.7,3.9,96.3,A,Excellent
6015,18.4,77.4,5.9,94.3,A,Excellent
3194,10.7,84.3,7.7,82.1,B,Good
117,14.9,69.66,9.38,99.95,A,Excellent
1235,9.4,94.7,2.3,83,B,Good
4511,6.7,82.9,6.5,76.1,B,Good
8246,5.6,75.7,3.9,51.7,D,Poor
3394,14.5,73.8,5.1,90.3,A,Excellent
6950,19.9,80.4,3.1,100,A,Excellent
8174,9.5,78,3.7,74.3,B,Average
1346,4.6,83.3,3.7,55.4,C,Poor
8183,15,87.4,5.6,81.9,B,Good
6300,10.9,100,5,65.9,C,Average
7411,22.4,80.7,8.1,100,A,Excellent
2801,16.3,93.2,7.1,86.7,A,Good
1786,4.8,81.4,7.1,63,C,Average
8929,8,73.9,8.5,61.8,C,Average
7449,23.7,57.1,5.3,100,A,Excellent
1135,13.3,79.3,4.8,100,A,Excellent
8065,8.8,90.9,8.9,70,C,Average
5314,16.3,88.6,7.3,90.2,A,Excellent
3287,12.7,99.3,4.4,94.8,A,Excellent
4265,14.6,91.7,9.5,97.4,A,Excellent
8528,16.5,79.4,4.8,100,A,Excellent
4219,17.3,75.4,4.3,83,B,Good
7314,1.4,94.6,6.8,57.4,C,Poor
5690,13.8,89.6,7.4,83.8,B,Good
2985,3.4,86.8,8.5,61.2,C,Average
2850,11.2,100,4,60.6,C,Average
7671,20.2,78.8,7.5,100,A,Excellent
401,3.8,85.8,4.7,67.2,C,Average
3109,18.2,92.1,1.2,90.3,A,Excellent
8473,10.4,89.4,4.5,74.1,B,Average
4858,21.6,80,6.8,100,A,Excellent
5942,20.4,68.4,6.5,83.2,B,Good
6348,23.9,95.9,4,100,A,Excellent
8629,19.5,91.9,10,86.6,A,Good
756,33.4,78.4,6.7,100,A,Excellent
7333,31.6,74.8,4.2,100,A,Excellent
554,16.8,78.2,7.9,98.6,A,Excellent
8079,17.5,94.4,5.4,100,A,Excellent
6565,14.8,84.5,5.1,92.5,A,Excellent
6958,27.6,77.4,8.7,100,A,Excellent
7755,15.4,77.1,2.9,71.9,B,Average
7378,19.3,97.1,6.1,92.3,A,Excellent
47,11.72,96.37,5.63,78.74,B,Good
6837,21.5,85.4,6.3,100,A,Excellent
8351,4.4,85.7,5.4,56.4,C,Poor
8947,13.6,76.3,6.1,83.6,B,Good
7692,10.8,95.4,5.8,84.3,B,Good
8549,12,73.7,3,83.9,B,Good
2979,18.8,90.8,5.4,96.8,A,Excellent
7052,17.8,97.8,8.2,100,A,Excellent
2061,21,86.7,4.3,100,A,Excellent
3180,18.6,85.5,5.8,100,A,Excellent
3730,0,97.7,9.6,49.1,D,Poor
1132,18,97.4,5.8,100,A,Excellent
2360,17.9,69.7,6,100,A,Excellent
3538,9.3,73.5,5.2,70.7,B,Average
4738,15.2,97.7,5.6,82.7,B,Good
1442,23.2,89.9,1.7,100,A,Excellent
8844,13,92.5,5.7,87.7,A,Good
1925,29.5,91.7,5.5,100,A,Excellent
9054,12.7,97.3,5.4,90.4,A,Excellent
3112,13,91.1,6.2,84.5,B,Good
184,13.85,99.55,8.32,95.25,A,Excellent
403,15,91.7,4.4,87.4,A,Good
2782,10.5,80.1,5.8,68.9,C,Average
3925,13.2,85.8,2.9,80.7,B,Good
8816,15.5,64.2,6.2,87.9,A,Good
1432,20.7,79.2,7.8,100,A,Excellent
2013,9.6,94.2,7.7,62.5,C,Average
8817,13.1,100,5.2,83.6,B,Good
5010,14,74.6,5.9,100,A,Excellent
6288,19.9,80.1,9.4,100,A,Excellent
4106,16.7,89.8,6.8,94.3,A,Excellent
7773,13,96.4,4.3,85.9,A,Good
7722,25.1,76.5,6.7,100,A,Excellent
6404,18.5,82.5,5.5,100,A,Excellent
7829,16.3,88.2,6.2,92.3,A,Excellent
1831,20,82.1,8.4,88.7,A,Good
5856,2.4,62.9,5.6,63.9,C,Average
9114,12.7,71.7,5.2,91.6,A,Excellent
7237,13.2,73.3,7.8,89.8,A,Good
888,12.5,73.1,6.4,100,A,Excellent
7862,16,81.3,7,98,A,Excellent
6777,21.1,79,4.7,94.6,A,Excellent
6119,18.9,72.9,4.5,99.5,A,Excellent
304,19.3,91.1,5.8,100,A,Excellent
6232,12.5,81.9,5.9,73.1,B,Average
2359,2.6,96.8,5.4,61.8,C,Average
590,9,85.2,4.3,65.3,C,Average
5547,29.3,95.9,8,100,A,Excellent
1314,18.9,75.2,7.9,100,A,Excellent
1435,13.8,90.3,4.5,79.2,B,Good
2887,11.3,74.9,3.8,78.1,B,Good
1454,33.2,70.7,4.5,100,A,Excellent
8303,9.9,93.8,10,66.7,C,Average
5233,7.6,100,7.6,72,B,Average
156,15.4,75.54,4.08,71.46,C,Average
2211,6.2,88.8,7.6,82.9,B,Good
8132,19.1,84.4,4.6,94.5,A,Excellent
5657,22.1,90.8,5.6,100,A,Excellent
7607,8.7,93.3,7.1,71.3,B,Average
7753,20.7,79.7,3.6,93,A,Excellent
1842,1.8,100,1.5,55.9,C,Poor
2995,8.3,89,8.5,71,B,Average
6280,15.4,74.5,1.4,80.2,B,Good
4684,10.1,98.2,5.1,80.8,B,Good
9001,20.4,85.9,5.8,88.1,A,Good
7668,11.6,92.5,6.9,86.5,A,Good
3652,18.9,93.8,7,100,A,Excellent
2634,17.2,83.8,8.7,100,A,Excellent
5272,33.1,92.5,4.6,100,A,Excellent
8644,16.3,86.1,4.7,95,A,Excellent
3884,8.8,98.9,3.8,81.8,B,Good
8439,14.8,97.2,7.9,94.5,A,Excellent
8349,19.1,60,2.2,100,A,Excellent
8486,20.3,82.1,1,85.1,A,Good
6489,17.8,96.6,3,92.5,A,Excellent
978,0,95.6,3,35.8,F,Poor
2419,17.7,87.5,7.5,100,A,Excellent
122,6.72,67.13,4.88,87.18,B,Good
1658,24.2,76,7.7,99.8,A,Excellent
3957,14.3,95.9,6.9,85.9,A,Good
2717,19.4,94.7,6.9,100,A,Excellent
7878,17.3,88.8,7.7,100,A,Excellent
9029,17.1,87,6.8,95.1,A,Excellent
4701,8,86,5.9,67.3,C,Average
2077,19.3,91.4,5.1,100,A,Excellent
5658,14.7,87.1,7.2,84.4,B,Good
4640,0,69.3,6.9,50.1,D,Poor
1687,11.7,90.7,5.3,85.8,A,Good
7080,13.9,90.6,5.1,89.2,A,Good
3103,26.5,70.1,7.9,100,A,Excellent
1765,13.3,73.5,4,93.1,A,Excellent
2806,2.6,89.2,5.8,54.6,D,Poor
7149,24.6,88.3,6.1,88.1,A,Good
6044,12.5,82.6,6.6,87.1,A,Good
1193,10.8,90,2.3,82.4,B,Good
3874,4.7,91,8.4,66.3,C,Average
273,23.1,96.6,8.9,100,A,Excellent
513,13.3,85.4,0.9,92.8,A,Excellent
4962,7.8,82,8.9,81.5,B,Good
7225,14.9,79.9,2.4,70.9,B,Average
3803,6.5,66.6,3.1,82.8,B,Good
3351,11.4,89.1,10,70.8,B,Average
2758,9.7,78.6,6,89,A,Good
3788,8.8,93.9,6,81.9,B,Good
6731,26.8,93,6.3,100,A,Excellent
7214,12.2,84,6,79.2,B,Good
3964,20.4,84.5,4.7,96.2,A,Excellent
8529,22.1,93,2.6,100,A,Excellent
6466,20.7,90.1,3.6,100,A,Excellent
8285,8,78.5,7.7,70.9,B,Average
333,15.5,75.8,7.2,93.3,A,Excellent
3431,18.3,75.1,5.3,82.9,B,Good
4148,14.3,73.6,6.8,81.8,B,Good
3899,18,89.3,9.5,84.5,B,Good
7273,21.3,92.9,9.4,95.8,A,Excellent
145,4.63,73.45,9.19,45.34,D,Poor
7592,19.3,72.9,5.1,100,A,Excellent
1305,18.8,60.6,10,85.7,A,Good
8957,6.9,69.5,5,65.9,C,Average
7418,8.6,80.6,4.3,64.8,C,Average
8893,8.4,74,5.8,61.6,C,Average
1041,26.8,82.3,6.1,100,A,Excellent
2302,8,88.3,2.9,77,B,Good
6268,21.8,90.9,5,89.6,A,Good
8562,20,93.8,5.5,98.6,A,Excellent
6496,17.7,65.2,6.6,83.9,B,Good
4660,9.4,74.3,4.6,85.6,A,Good
4926,11.5,81.6,6.3,87.4,A,Good
1706,13.3,100,4.4,75.8,B,Good
3888,13.9,93,3,82.7,B,Good
5622,2.5,80.1,6.6,63.5,C,Average
2403,11.2,71.3,7,83.3,B,Good
5044,9.3,80.3,7.5,69.2,C,Average
1182,24.7,72.3,6.3,100,A,Excellent
6668,13.5,89.8,6.5,90.7,A,Excellent
5171,17.2,67.9,2.7,81.6,B,Good
2314,18.5,100,5.5,100,A,Excellent
8594,16,83.4,7.1,100,A,Excellent
4473,24.1,89.8,7.8,100,A,Excellent
195,16,61.26,6.27,76.92,B,Good
501,21.5,99.4,2.8,100,A,Excellent
5017,0.3,84.4,1.7,37.8,F,Poor
8353,18,92.4,7.7,93.7,A,Excellent
7223,13.6,86.4,5,100,A,Excellent
3837,23.7,85.1,4.4,100,A,Excellent
1293,15,100,5.6,81.2,B,Good
2543,13.5,85.7,8.3,83.2,B,Good
7613,9.3,90.7,6.1,75.1,B,Good
5852,11.7,84.6,9.4,84.7,B,Good
7102,14.1,90.9,5.9,98.3,A,Excellent
4746,13,76.4,7,74.6,B,Average
5205,31.7,83,6.3,100,A,Excellent
2152,26.6,88,9.8,100,A,Excellent
7987,16.5,90.8,6.1,100,A,Excellent
7049,6.1,95.4,4.6,51,D,Poor
3238,6.2,90.9,4.1,74.8,B,Average
6071,19,80.1,3.9,100,A,Excellent
7533,15.6,85.7,7.7,94,A,Excellent
8058,13,92.9,4.3,96.5,A,Excellent
5325,16.4,85.7,3.5,83.8,B,Good
6672,10.3,75.6,7.1,64,C,Average
1776,5.8,79,8.5,58.8,C,Poor
5134,18.2,90.2,5,89.8,A,Good
4819,19.4,96.8,5.9,91.6,A,Excellent
4811,20.3,81,5.9,97.7,A,Excellent
6543,2.7,88.3,6.3,53.2,D,Poor
4923,19.1,82,5.9,100,A,Excellent
4769,22.2,100,8.8,100,A,Excellent
1021,18.7,68.3,2.2,84.7,B,Good
1987,20.1,86.5,6.9,100,A,Excellent
3343,7.8,74.3,7,72.9,B,Average
3511,23.5,94,4.6,100,A,Excellent
2036,34.3,81.6,4.2,100,A,Excellent
4553,21.1,93.1,5.2,100,A,Excellent
5579,5.6,88,6.3,50.9,D,Poor
6269,21.8,78.7,7,100,A,Excellent
3502,10.6,98.3,8.5,76.7,B,Good
2902,12,99.3,3.1,71.2,B,Average
8902,16.5,72.9,6.8,83.1,B,Good
359,17.3,90.4,6.4,100,A,Excellent
3871,5.3,73.2,5.4,69.3,C,Average
2121,31.9,81.8,4.9,100,A,Excellent
6261,24.9,84.4,5.5,100,A,Excellent
983,8.2,75.1,6,63.8,C,Average
7724,15.1,99.8,7.1,87,A,Good
1475,9.5,93.9,2.2,63.3,C,Average
6824,18.9,88.4,2.6,92.5,A,Excellent
4110,16.6,64,4.2,95,A,Excellent
912,16.5,81.7,5.4,100,A,Excellent
6720,21,84.2,5.8,100,A,Excellent
8570,2.9,77,6.1,58.5,C,Poor
5095,14.2,75.9,5.9,83.2,B,Good
6098,15.6,82.2,2.6,91.1,A,Excellent
4159,10.5,86,2.5,75.4,B,Good
2301,22.4,88.3,5.8,100,A,Excellent
668,25.5,81.7,5.3,100,A,Excellent
1029,19.3,78.3,5.3,98.3,A,Excellent
6042,23.5,77.3,7.1,97.4,A,Excellent
6978,22,74.2,7.2,100,A,Excellent
7556,16.9,82.8,6.3,80.8,B,Good
835,14.8,83.7,7.5,100,A,Excellent
2886,11.5,75.7,7.1,86.1,A,Good
6278,13.7,85.9,5.4,96.3,A,Excellent
4495,21,100,8.7,100,A,Excellent
2132,15.1,74.6,5,98.2,A,Excellent
6801,8.4,70.1,6.4,77.9,B,Good
5148,13.5,62.6,7.4,100,A,Excellent
7073,5.4,95.3,5.8,61.5,C,Average
7850,12.7,91.7,7.9,84.7,B,Good
7453,7.6,83.7,6.5,58.1,C,Poor
4536,10.5,92,6.5,78.8,B,Good
1380,27.8,89.7,4.4,100,A,Excellent
8669,17.7,85.6,4.2,98.8,A,Excellent
6927,15.1,91.5,7.5,100,A,Excellent
3292,0,88.6,7.5,50.6,D,Poor
2960,7.3,85.2,5.9,71.5,B,Average
1069,11.7,84.9,9,74.5,B,Average
5385,20.9,83.1,5.5,93.2,A,Excellent
1931,6.4,70.8,7.2,69.9,C,Average
1163,5.3,84.1,4.3,68.6,C,Average
583,19.4,89.4,3.6,100,A,Excellent
2954,25.6,69.3,2.8,100,A,Excellent
6722,22.6,80.6,6.3,100,A,Excellent
7189,13,79,9.9,86.7,A,Good
2760,19.4,86.9,3.8,100,A,Excellent
6504,5.4,67.1,7.2,64.3,C,Average
4742,18.5,70.8,8.8,93,A,Excellent
3385,22.7,67.8,8.3,100,A,Excellent
395,23.3,90.6,6.3,100,A,Excellent
1228,14,87.3,5.5,83.5,B,Good
3932,25.7,71.1,7.5,100,A,Excellent
8113,2.7,84.8,7.2,53.3,D,Poor
2878,10.3,80.2,5.6,74.8,B,Average
896,19.5,96.5,6.9,94.2,A,Excellent
4155,21.9,100,8.4,100,A,Excellent
1694,5.6,80.4,7.4,74.8,B,Average
5957,14.1,95.1,4.5,96.4,A,Excellent
977,11.8,67.7,5.7,74.4,B,Average
3844,5.4,89.8,7.5,45.6,D,Poor
8109,22.7,94.7,5,100,A,Excellent
2971,1.6,80.9,5.6,57.9,C,Poor
4897,3.2,85.6,7,65.8,C,Average
256,11.6,81.8,6,69.5,C,Average
2391,2.1,72.9,6.3,46.2,D,Poor
6110,9.9,79,9.1,79.5,B,Good
4875,10.7,76.3,7.2,71.9,B,Average
3736,14.1,92.7,5.5,100,A,Excellent
130,17.07,74.12,8.06,40.91,D,Poor
2450,10.2,84.9,5.2,73.1,B,Average
1068,23.1,86.6,8.4,100,A,Excellent
3484,14.6,91,4.1,78.4,B,Good
2094,7,92.8,8,78.4,B,Good
4070,22.4,89.6,3.5,100,A,Excellent
4789,0.4,80.9,7.6,60.3,C,Average
5389,5.7,81,5.8,59.2,C,Poor
386,16.1,76,9.5,92.1,A,Excellent
1680,12,90.8,4.6,85.4,A,Good
573,17.3,76.1,6.6,99.4,A,Excellent
7271,3,87.2,10,58.2,C,Poor
5063,12.7,81.6,5.1,84.5,B,Good
7970,22.9,100,5.8,100,A,Excellent
9028,22.5,81.5,8.8,100,A,Excellent
5665,11.6,78.2,4.5,80.8,B,Good
6702,14,99.2,6,79,B,Good
891,20.7,92.7,6,100,A,Excellent
1277,31.2,92.7,7.2,100,A,Excellent
3715,22.1,88.7,6.2,100,A,Excellent
6461,12.3,79.3,6.5,85.8,A,Good
5083,15.6,78.6,4.8,86.5,A,Good
8131,13.1,100,3.5,85.8,A,Good
3573,17.2,84.8,4.7,98.1,A,Excellent
369,15.7,91.3,3.1,93.3,A,Excellent
8438,16.4,86.8,2,100,A,Excellent
7084,10.4,87.1,4.8,63.2,C,Average
5411,11.3,79.6,6.5,64.5,C,Average
7650,7.6,91.7,7.2,70.4,B,Average
555,17.4,75.7,4.7,100,A,Excellent
8499,2.5,100,10,61.7,C,Average
7196,17.1,90.9,4.3,87.1,A,Good
7993,26.5,75.8,4.9,100,A,Excellent
1709,14.1,90.5,6.9,76.3,B,Good
533,14.5,100,4.7,81.3,B,Good
7267,21.1,81.2,7.1,100,A,Excellent
3396,5.3,96.3,8.1,50.4,D,Poor
1275,23.5,86.4,6.7,100,A,Excellent
8500,22.4,74.3,5.3,87.3,A,Good
79,8.29,80.21,1.58,43.27,D,Poor
9052,7.1,81.6,7.5,72.8,B,Average
3913,22.1,71.2,7.3,100,A,Excellent
8447,19.7,92.2,5.9,93.8,A,Excellent
3251,19.2,87.8,3.9,85.1,A,Good
5330,2.8,91.2,6.5,51.8,D,Poor
8630,10.2,81.7,8.2,71.3,B,Average
2981,16.8,76.8,4.9,79.9,B,Good
2502,21.8,100,6.9,93.7,A,Excellent
5873,17.5,100,5.1,93.3,A,Excellent
6238,15.4,78.5,6.8,89.8,A,Good
4765,8,88.9,4.2,53.8,D,Poor
8398,16.2,84.5,4.8,100,A,Excellent
6459,10.1,82.5,3.8,78.4,B,Good
8727,37.1,82.3,7.2,100,A,Excellent
8012,18,100,6.4,100,A,Excellent
8288,7.8,81.8,6.8,69.5,C,Average
1951,2.6,89.9,6.5,54.9,D,Poor
7728,3.7,77.7,6.4,64.2,C,Average
5678,24.4,95.8,9.7,100,A,Excellent
1710,8.2,85.4,8.7,63.1,C,Average
7384,9.4,87.4,7.4,71.9,B,Average
876,27.6,86.1,8.2,100,A,Excellent
1505,13.8,79.8,3,73.8,B,Average
3409,13.4,79.7,4.7,77.7,B,Good
9151,19.6,89.3,2.4,94.9,A,Excellent
7695,19.3,82,7.2,95.8,A,Excellent
8048,10.1,80.5,2.1,63.3,C,Average
2906,20.3,97,4.6,100,A,Excellent
1465,10.9,92.4,3.1,89.2,A,Good
4063,8.3,72.3,5.5,67.9,C,Average
6262,20.4,85.6,7.2,89,A,Good
172,12.68,91.53,6.98,77.43,B,Good
5679,17.5,78.9,6.4,83.2,B,Good
7703,10.4,89.7,6.1,99.9,A,Excellent
3723,3.5,81.1,5.6,63.4,C,Average
6083,23.5,93.1,8.6,98.5,A,Excellent
5085,21.7,76.9,5.8,100,A,Excellent
6660,17.1,86.1,5.9,96.9,A,Excellent
7184,8.5,72.6,5.1,68.5,C,Average
3535,29.7,75.6,7.2,100,A,Excellent
921,22.5,80.7,6.6,100,A,Excellent
9098,6.4,98.2,4.9,50.7,D,Poor
1627,11.9,100,5,78,B,Good
4228,17.9,83.9,7.9,92.5,A,Excellent
5901,14.5,84.9,7.2,87.6,A,Good
7547,15.1,81.4,5.9,96.9,A,Excellent
7354,23.3,92.7,6,100,A,Excellent
3947,18.8,75,6.5,97.3,A,Excellent
3239,16.3,73.7,6.2,84.2,B,Good
6125,25.7,77.8,3.3,100,A,Excellent
7173,13.8,76.5,6.3,76.3,B,Good
6885,16.3,87.2,5.7,87.4,A,Good
6559,19.8,89.7,8.2,100,A,Excellent
4207,18.5,90.3,4.6,100,A,Excellent
6358,4.2,91.8,8.4,70.1,B,Average
2613,13.6,87.3,5.6,94.6,A,Excellent
6386,23.9,95.6,3.5,100,A,Excellent
7419,14.9,89.2,8.5,100,A,Excellent
6828,14.9,74.4,9.4,70.9,B,Average
2228,10.8,100,7.2,91.1,A,Excellent
379,30.3,64.4,4.1,100,A,Excellent
1222,17.2,66.8,4,94.1,A,Excellent
5921,23.8,95.6,2.1,100,A,Excellent
8898,17.1,87.5,3.9,91.1,A,Excellent
2566,12.1,90.8,7,99.2,A,Excellent
3727,18.5,80.3,7.5,95.7,A,Excellent
1136,21.7,83.5,4.3,100,A,Excellent
3195,4.3,66.1,4.9,52.3,D,Poor
5383,8.6,84.2,5.7,69.9,C,Average
2358,16,73.3,7.6,100,A,Excellent
7597,4,96.5,6.9,53.8,D,Poor
939,16.7,98.6,7.4,97.6,A,Excellent
7707,26,93.4,6.9,100,A,Excellent
6352,7.7,99.3,4,69.8,C,Average
1807,16.9,74.5,3.9,99.1,A,Excellent
2986,8.3,85.6,2.5,67.9,C,Average
4645,19.5,75.9,5.4,100,A,Excellent
